username,date,text
SylvinaFitri,2023-01-13 17:26:42,"Berita ini membuatku sedih!

#Obstructionofjustice
#Brigadirjoshua
#beritaViral
#beritaterkini
#hukum
#hukumonline
#ferdisambo
#BreakingNews
#Breaking_News
#NewsUpdate
#news
#Duniadalamberita

https://t.co/2uS3zB3N1d"
SukoharjoTf,2023-01-13 15:40:16,"“Bayangkan, ajudannya saja bisa disuruh dibun*h, gimana saya tidak kepikiran Yang Mulia?” jawab Arif.

#SidangFerdySambo #FerdySambo #BharadaE #BrigadirJ #ArifRachman"
SukoharjoTf,2023-01-13 15:40:07,"Sangat campur aduk, ini momen dimana Arif menjawab pertanyaan dari Hakim!😢

Streaming 24 jam di kanal youtube ""metrotvnews""

#SidangFerdySambo 
#FerdySambo 
#BharadaE 
#BrigadirJ 
#ArifRachman https://t.co/STZ1aGkStG"
MT0t0k,2023-01-13 15:29:41,"Sangat campur aduk, ini momen dimana Arif menjawab pertanyaan dari Hakim!😢

Streaming 24 jam di kanal youtube ""metrotvnews""

#SidangFerdySambo 
#FerdySambo 
#BharadaE 
#BrigadirJ 
#ArifRachman https://t.co/STZ1aGkStG"
wenrohaloho,2023-01-13 15:28:40,"“Bayangkan, ajudannya saja bisa disuruh dibun*h, gimana saya tidak kepikiran Yang Mulia?” jawab Arif.

#SidangFerdySambo #FerdySambo #BharadaE #BrigadirJ #ArifRachman"
wenrohaloho,2023-01-13 15:28:37,"Sangat campur aduk, ini momen dimana Arif menjawab pertanyaan dari Hakim!😢

Streaming 24 jam di kanal youtube ""metrotvnews""

#SidangFerdySambo 
#FerdySambo 
#BharadaE 
#BrigadirJ 
#ArifRachman https://t.co/STZ1aGkStG"
Metro_TV,2023-01-13 15:28:14,"“Bayangkan, ajudannya saja bisa disuruh dibun*h, gimana saya tidak kepikiran Yang Mulia?” jawab Arif.

#SidangFerdySambo #FerdySambo #BharadaE #BrigadirJ #ArifRachman"
Metro_TV,2023-01-13 15:27:07,"Sangat campur aduk, ini momen dimana Arif menjawab pertanyaan dari Hakim!😢

Streaming 24 jam di kanal youtube ""metrotvnews""

#SidangFerdySambo 
#FerdySambo 
#BharadaE 
#BrigadirJ 
#ArifRachman https://t.co/STZ1aGkStG"
Metro_TV,2023-01-13 15:01:21,"Pengadilan Negeri Jakarta Selatan menggelar pemeriksaan terdakwa kasus obstruction of justice kasus pembunuhan Brigadir J. Dapatkah pengakuan para terdakwa dipercaya? 

https://t.co/dV4d769hKL

#sidangferdysambocs 
#alifrachman #kasusferdysambo #brigadirj #breakingnewsmetrotv https://t.co/q76oCzl22r"
Diahfitriamalia,2023-01-13 14:49:06,"Majelis hakim Wahyu, bertanya seputar waktu terjadinya pelecehan seksual, yang diakui Putri Candrawathi terjadi di lantai dua rumah di Magelang, Jawa Tengah pada 7 Juli 2022. #PutriCandrawathi #brigadirJ #FerdySambo 

 https://t.co/dqhvvYp9RC https://t.co/Q0IWQqWGk1"
botomuzoi,2023-01-13 14:06:20,"Terdakwa Putri Candrawathi hanya diam saat ditanya Lembaga Perlindungan Saksi dan Korban (LPSK) soal hubungannya dengan Brigadir J.

Simak berita selengkapnya di https://t.co/GgtZcy4bbs
#HardNews_Hukum #NewsOne #CariBeritaditvOne #PutriCandrawathi #BrigadirJ https://t.co/GSs8Edj5Iw"
Annisa27724185,2023-01-13 13:00:55,"Terdakwa Putri Candrawathi hanya diam saat ditanya Lembaga Perlindungan Saksi dan Korban (LPSK) soal hubungannya dengan Brigadir J.

Simak berita selengkapnya di https://t.co/GgtZcy4bbs
#HardNews_Hukum #NewsOne #CariBeritaditvOne #PutriCandrawathi #BrigadirJ https://t.co/GSs8Edj5Iw"
Per9Virly,2023-01-13 12:44:01,"Sidang perkara pembunuhan #BrigadirJ memasuki babak akhir. Pemeriksaan terhadap para terdakwa yang terlibat dalam kasus ini pun selesai. Bagaimana hasil keputusan hakim?

Saksikan #MetroTVKontroversi episode DAG DIG DUG TUNGGU TUNTUTAN Kamis (12/1) pukul 21.30 WIB. https://t.co/Ww6q8jjNG2"
